THEATER,ECHELON,POSTURE,LIN,DODIC,RATE
S,A,A,BULK,G881,65.13
S,A,H,BULK,G881,65.13
S,A,S,BULK,G881,65.13
S,A,U,BULK,G881,65.13
S,B,S,BULK,G881,48.87
S,B,U,BULK,G881,48.87
S,B,P,BULK,G881,48.87
S,B,R,BULK,G881,48.87
S,B,D,BULK,G881,48.87
S,B,A,BULK,G881,48.87
S,B,H,BULK,G881,48.87
S,C,S,BULK,G881,36.66
S,C,U,BULK,G881,36.66
S,C,P,BULK,G881,36.66
S,C,R,BULK,G881,36.66
S,C,D,BULK,G881,36.66
S,C,A,BULK,G881,36.66
S,C,H,BULK,G881,36.66
S,D,D,BULK,G881,27.5
S,D,A,BULK,G881,27.5
S,D,H,BULK,G881,27.5
S,D,S,BULK,G881,27.5
S,D,U,BULK,G881,27.5
S,D,P,BULK,G881,27.5
S,D,R,BULK,G881,27.5
S,A,P,BULK,G900,3.91
S,A,R,BULK,G900,3.91
S,A,D,BULK,G900,3.91
S,A,A,BULK,G900,3.91
S,A,H,BULK,G900,3.91
S,A,S,BULK,G900,3.91
S,A,U,BULK,G900,3.91
S,B,S,BULK,G900,2.94
S,B,U,BULK,G900,2.94
S,B,P,BULK,G900,2.94
S,B,R,BULK,G900,2.94
S,B,D,BULK,G900,2.94
S,B,A,BULK,G900,2.94
S,B,H,BULK,G900,2.94
S,C,S,BULK,G900,2.2
S,C,U,BULK,G900,2.2
S,C,P,BULK,G900,2.2
S,C,R,BULK,G900,2.2
S,C,D,BULK,G900,2.2
S,C,A,BULK,G900,2.2
S,C,H,BULK,G900,2.2
S,D,D,BULK,G900,1.65
S,D,A,BULK,G900,1.65
S,D,H,BULK,G900,1.65
S,D,S,BULK,G900,1.65
S,D,U,BULK,G900,1.65
S,D,P,BULK,G900,1.65
S,D,R,BULK,G900,1.65
S,A,P,BULK,G911,16.29
S,A,R,BULK,G911,16.29
S,A,D,BULK,G911,16.29
S,A,A,BULK,G911,16.29
S,A,H,BULK,G911,16.29
S,A,S,BULK,G911,16.29
S,A,U,BULK,G911,16.29
S,B,S,BULK,G911,12.22
S,B,U,BULK,G911,12.22
S,B,P,BULK,G911,12.22
S,B,R,BULK,G911,12.22
S,B,D,BULK,G911,12.22
S,B,A,BULK,G911,12.22
S,B,H,BULK,G911,12.22
S,C,S,BULK,G911,9.17
S,C,U,BULK,G911,9.17
S,C,P,BULK,G911,9.17
S,C,R,BULK,G911,9.17
S,C,D,BULK,G911,9.17
S,C,A,BULK,G911,9.17
S,C,H,BULK,G911,9.17
S,D,D,BULK,G911,6.88
S,D,A,BULK,G911,6.88
S,D,H,BULK,G911,6.88
S,D,S,BULK,G911,6.88
S,D,U,BULK,G911,6.88
S,D,P,BULK,G911,6.88
S,D,R,BULK,G911,6.88
S,A,P,BULK,G930,1.71
S,A,R,BULK,G930,0.1
S,A,D,BULK,G930,1.71
S,A,A,BULK,G930,1.71
S,A,H,BULK,G930,0.43
S,A,S,BULK,G930,0.25
S,A,U,BULK,G930,0
S,B,S,BULK,G930,0.18
S,B,U,BULK,G930,0
S,B,P,BULK,G930,1.28
S,B,R,BULK,G930,0.08
S,B,D,BULK,G930,1.28
S,B,A,BULK,G930,1.28
S,B,H,BULK,G930,0.32
S,C,S,BULK,G930,0.14
S,C,U,BULK,G930,0
S,C,P,BULK,G930,0.96
S,C,R,BULK,G930,0.06
S,C,D,BULK,G930,0.96
S,C,A,BULK,G930,0.96
S,C,H,BULK,G930,0.24
S,D,D,BULK,G930,0.72
S,D,A,BULK,G930,0.72
S,D,H,BULK,G930,0.18
S,D,S,BULK,G930,0.1
S,D,U,BULK,G930,0
S,D,P,BULK,G930,0.72
S,D,R,BULK,G930,0.04
S,A,P,BULK,G940,1.71
S,A,R,BULK,G940,0.1
S,A,D,BULK,G940,1.71
S,A,A,BULK,G940,1.71
S,A,H,BULK,G940,0.43
S,A,S,BULK,G940,0.25
S,A,U,BULK,G940,0
S,B,S,BULK,G940,0.18
S,B,U,BULK,G940,0
S,B,P,BULK,G940,1.28
S,B,R,BULK,G940,0.08
S,B,D,BULK,G940,1.28
S,B,A,BULK,G940,1.28
S,B,H,BULK,G940,0.32
S,C,S,BULK,G940,0.14
S,C,U,BULK,G940,0
S,C,P,BULK,G940,0.96
S,C,R,BULK,G940,0.06
S,C,D,BULK,G940,0.96
S,C,A,BULK,G940,0.96
S,C,H,BULK,G940,0.24
S,D,D,BULK,G940,0.72
S,D,A,BULK,G940,0.72
S,D,H,BULK,G940,0.18
S,D,S,BULK,G940,0.1
S,D,U,BULK,G940,0
S,D,P,BULK,G940,0.72
S,D,R,BULK,G940,0.04
S,A,P,BULK,G945,1.71
S,A,R,BULK,G945,0.1
S,A,D,BULK,G945,1.71
S,A,A,BULK,G945,1.71
S,A,H,BULK,G945,0.43
S,A,S,BULK,G945,0.25
S,A,U,BULK,G945,0
S,B,S,BULK,G945,0.18
S,B,U,BULK,G945,0
S,B,P,BULK,G945,1.28
S,B,R,BULK,G945,0.08
S,B,D,BULK,G945,1.28
S,B,A,BULK,G945,1.28
S,B,H,BULK,G945,0.32
S,C,S,BULK,G945,0.14
S,C,U,BULK,G945,0
S,C,P,BULK,G945,0.96
S,C,R,BULK,G945,0.06
S,C,D,BULK,G945,0.96
S,C,A,BULK,G945,0.96
S,C,H,BULK,G945,0.24
S,D,D,BULK,G945,0.72
S,D,A,BULK,G945,0.72
S,D,H,BULK,G945,0.18
S,D,S,BULK,G945,0.1
S,D,U,BULK,G945,0
S,D,P,BULK,G945,0.72
S,D,R,BULK,G945,0.04
S,A,P,BULK,G950,1.71
S,A,R,BULK,G950,0.1
S,A,D,BULK,G950,1.71
S,A,A,BULK,G950,1.71
S,A,H,BULK,G950,0.43
S,A,S,BULK,G950,0.25
S,A,U,BULK,G950,0
S,B,S,BULK,G950,0.18
S,B,U,BULK,G950,0
S,B,P,BULK,G950,1.28
S,B,R,BULK,G950,0.08
S,B,D,BULK,G950,1.28
S,B,A,BULK,G950,1.28
S,B,H,BULK,G950,0.32
S,C,S,BULK,G950,0.14
S,C,U,BULK,G950,0
S,C,P,BULK,G950,0.96
S,C,R,BULK,G950,0.06
S,C,D,BULK,G950,0.96
S,C,A,BULK,G950,0.96
S,C,H,BULK,G950,0.24
S,D,D,BULK,G950,0.72
S,D,A,BULK,G950,0.72
S,D,H,BULK,G950,0.18
S,D,S,BULK,G950,0.1
S,D,U,BULK,G950,0
S,D,P,BULK,G950,0.72
S,D,R,BULK,G950,0.04
S,A,P,BULK,G955,1.71
S,A,R,BULK,G955,0.1
S,A,D,BULK,G955,1.71
S,A,A,BULK,G955,1.71
S,A,H,BULK,G955,0.43
S,A,S,BULK,G955,0.25
S,A,U,BULK,G955,0
S,B,S,BULK,G955,0.18
S,B,U,BULK,G955,0
S,B,P,BULK,G955,1.28
S,B,R,BULK,G955,0.08
S,B,D,BULK,G955,1.28
S,B,A,BULK,G955,1.28
S,B,H,BULK,G955,0.32
S,C,S,BULK,G955,0.14
S,C,U,BULK,G955,0
S,C,P,BULK,G955,0.96
S,C,R,BULK,G955,0.06
S,C,D,BULK,G955,0.96
S,C,A,BULK,G955,0.96
S,C,H,BULK,G955,0.24
S,D,D,BULK,G955,0.72
S,D,A,BULK,G955,0.72
S,D,H,BULK,G955,0.18
S,D,S,BULK,G955,0.1
S,D,U,BULK,G955,0
S,D,P,BULK,G955,0.72
S,D,R,BULK,G955,0.04
S,A,P,BULK,HZ01,1.27
S,A,R,BULK,HZ01,0.34
S,A,D,BULK,HZ01,1.27
S,A,A,BULK,HZ01,1.27
S,A,H,BULK,HZ01,0.75
S,A,S,BULK,HZ01,0.48
S,A,U,BULK,HZ01,0.04
S,B,S,BULK,HZ01,0.36
S,B,U,BULK,HZ01,0.03
S,B,P,BULK,HZ01,0.95
S,B,R,BULK,HZ01,0.26
S,B,D,BULK,HZ01,0.95
S,B,A,BULK,HZ01,0.95
S,B,H,BULK,HZ01,0.56
S,C,S,BULK,HZ01,0.27
S,C,U,BULK,HZ01,0.02
S,C,P,BULK,HZ01,0.71
S,C,R,BULK,HZ01,0.19
S,C,D,BULK,HZ01,0.71
S,C,A,BULK,HZ01,0.71
S,C,H,BULK,HZ01,0.42
S,D,D,BULK,HZ01,0.53
S,D,A,BULK,HZ01,0.53
S,D,H,BULK,HZ01,0.31
S,D,S,BULK,HZ01,0.2
S,D,U,BULK,HZ01,0.02
S,D,P,BULK,HZ01,0.53
S,D,R,BULK,HZ01,0.14
S,A,P,BULK,K010,0.13
S,A,R,BULK,K010,0
S,A,D,BULK,K010,0.13
S,A,A,BULK,K010,0.13
S,A,H,BULK,K010,0.03
S,A,S,BULK,K010,0
S,A,U,BULK,K010,0
S,B,S,BULK,K010,0
S,B,U,BULK,K010,0
S,B,P,BULK,K010,0.1
S,B,R,BULK,K010,0
S,B,D,BULK,K010,0.1
S,B,A,BULK,K010,0.1
S,B,H,BULK,K010,0.02
S,C,S,BULK,K010,0
S,C,U,BULK,K010,0
S,C,P,BULK,K010,0.07
S,C,R,BULK,K010,0
S,C,A,BULK,K010,0.07
S,C,D,BULK,K010,0.07
S,C,H,BULK,K010,0.01
S,D,D,BULK,K010,0.05
S,D,A,BULK,K010,0.05
S,D,H,BULK,K010,0.01
S,D,S,BULK,K010,0
S,D,U,BULK,K010,0
S,D,P,BULK,K010,0.05
S,D,R,BULK,K010,0
S,A,P,BULK,K022,0.19
S,A,R,BULK,K022,0.07
S,A,D,BULK,K022,0.19
S,A,A,BULK,K022,0.19
S,A,H,BULK,K022,0.13
S,A,S,BULK,K022,0.11
S,A,U,BULK,K022,0.007493
S,B,S,BULK,K022,0.08
S,B,U,BULK,K022,0.005622
S,B,P,BULK,K022,0.14
S,B,R,BULK,K022,0.05
S,B,D,BULK,K022,0.14
S,B,A,BULK,K022,0.14
S,B,H,BULK,K022,0.1
S,C,S,BULK,K022,0.06
S,C,U,BULK,K022,0.004217
S,C,P,BULK,K022,0.11
S,C,R,BULK,K022,0.04
S,C,A,BULK,K022,0.11
S,C,H,BULK,K022,0.07
S,C,D,BULK,K022,0.11
S,D,D,BULK,K022,0.08
S,D,A,BULK,K022,0.08
S,D,H,BULK,K022,0.05
S,D,S,BULK,K022,0.04
S,D,U,BULK,K022,0.003164
S,D,P,BULK,K022,0.08
S,D,R,BULK,K022,0.03
S,A,P,BULK,K092,21.32
S,A,R,BULK,K092,3.63
S,A,D,BULK,K092,21.32
S,A,A,BULK,K092,21.32
S,A,H,BULK,K092,5.91
S,A,S,BULK,K092,3.63
S,A,U,BULK,K092,3.63
S,B,S,BULK,K092,2.72
S,B,U,BULK,K092,2.72
S,B,P,BULK,K092,16
S,B,R,BULK,K092,2.72
S,B,D,BULK,K092,16
S,B,A,BULK,K092,16
S,B,H,BULK,K092,4.44
S,C,S,BULK,K092,2.04
S,C,U,BULK,K092,2.04
S,C,P,BULK,K092,12
S,C,R,BULK,K092,2.04
S,C,A,BULK,K092,12
S,C,D,BULK,K092,12
S,C,H,BULK,K092,3.33
S,D,D,BULK,K092,9
S,D,A,BULK,K092,9
S,D,H,BULK,K092,2.5
S,D,S,BULK,K092,1.53
S,D,U,BULK,K092,1.53
S,D,P,BULK,K092,9
S,D,R,BULK,K092,1.53
S,A,P,BULK,K143,20.19
S,A,R,BULK,K143,3.31
S,A,D,BULK,K143,20.19
S,A,A,BULK,K143,20.19
S,A,H,BULK,K143,5.49
S,A,S,BULK,K143,3.31
S,A,U,BULK,K143,3.31
S,B,S,BULK,K143,2.49
S,B,U,BULK,K143,2.49
S,B,P,BULK,K143,15.15
S,B,R,BULK,K143,2.49
S,B,D,BULK,K143,15.15
S,B,A,BULK,K143,15.15
S,B,H,BULK,K143,4.12
S,C,S,BULK,K143,1.87
S,C,U,BULK,K143,1.87
S,C,P,BULK,K143,11.37
S,C,R,BULK,K143,1.87
S,C,A,BULK,K143,11.37
S,C,H,BULK,K143,3.09
S,C,D,BULK,K143,11.37
S,D,D,BULK,K143,8.53
S,D,A,BULK,K143,8.53
S,D,H,BULK,K143,2.32
S,D,S,BULK,K143,1.4
S,D,U,BULK,K143,1.4
S,D,P,BULK,K143,8.53
S,D,R,BULK,K143,1.4
S,A,P,BULK,K146,22.25
S,A,R,BULK,K146,3.63
S,A,D,BULK,K146,22.25
S,A,A,BULK,K146,22.25
S,A,H,BULK,K146,6.12
S,A,S,BULK,K146,3.63
S,A,U,BULK,K146,3.63
S,B,S,BULK,K146,2.72
S,B,U,BULK,K146,2.72
S,B,P,BULK,K146,16.69
S,B,R,BULK,K146,2.72
S,B,D,BULK,K146,16.69
S,B,A,BULK,K146,16.69
S,B,H,BULK,K146,4.6
S,C,S,BULK,K146,2.04
S,C,U,BULK,K146,2.04
S,C,P,BULK,K146,12.52
S,C,R,BULK,K146,2.04
S,C,A,BULK,K146,12.52
S,C,H,BULK,K146,3.45
S,C,D,BULK,K146,12.52
S,D,D,BULK,K146,9.39
S,D,A,BULK,K146,9.39
S,D,H,BULK,K146,2.59
S,D,S,BULK,K146,1.53
S,D,U,BULK,K146,1.53
S,D,P,BULK,K146,9.39
S,D,R,BULK,K146,1.53
S,A,P,BULK,K180,12.52
S,A,R,BULK,K180,2.05
S,A,D,BULK,K180,12.52
S,A,A,BULK,K180,12.52
S,A,H,BULK,K180,3.39
S,A,S,BULK,K180,2.05
S,A,U,BULK,K180,2.05
S,B,S,BULK,K180,1.54
S,B,U,BULK,K180,1.54
S,B,P,BULK,K180,9.4
S,B,R,BULK,K180,1.54
S,B,D,BULK,K180,9.4
S,B,A,BULK,K180,9.4
S,B,H,BULK,K180,2.54
S,C,S,BULK,K180,1.16
S,C,U,BULK,K180,1.16
S,C,P,BULK,K180,7.05
S,C,R,BULK,K180,1.16
S,C,A,BULK,K180,7.05
S,C,H,BULK,K180,1.91
S,C,D,BULK,K180,7.05
S,D,D,BULK,K180,5.29
S,D,A,BULK,K180,5.29
S,D,H,BULK,K180,1.43
S,D,S,BULK,K180,0.86
S,D,U,BULK,K180,0.86
S,D,P,BULK,K180,5.29
S,D,R,BULK,K180,0.86
S,A,P,BULK,K181,8.99
S,A,R,BULK,K181,1.96
S,A,D,BULK,K181,8.99
S,A,A,BULK,K181,8.99
S,A,H,BULK,K181,1.96
S,A,S,BULK,K181,1.96
S,A,U,BULK,K181,1.14
S,B,S,BULK,K181,1.47
S,B,U,BULK,K181,0.85
S,B,P,BULK,K181,6.75
S,B,R,BULK,K181,1.47
S,B,D,BULK,K181,6.75
S,B,A,BULK,K181,6.75
S,B,H,BULK,K181,1.47
S,C,S,BULK,K181,1.1
S,C,U,BULK,K181,0.64
S,C,P,BULK,K181,5.06
S,C,R,BULK,K181,1.1
S,C,A,BULK,K181,5.06
S,C,H,BULK,K181,1.1
S,C,D,BULK,K181,5.06
S,D,D,BULK,K181,3.8
S,D,A,BULK,K181,3.8
S,D,H,BULK,K181,0.82
S,D,S,BULK,K181,0.82
S,D,U,BULK,K181,0.48
S,D,P,BULK,K181,3.8
S,D,R,BULK,K181,0.82
S,A,P,BULK,K182,0.89
S,A,R,BULK,K182,0.15
S,A,D,BULK,K182,0.89
S,A,A,BULK,K182,0.89
S,A,H,BULK,K182,0.24
S,A,S,BULK,K182,0.15
S,A,U,BULK,K182,0.15
S,B,S,BULK,K182,0.11
S,B,U,BULK,K182,0.11
S,B,P,BULK,K182,0.67
S,B,R,BULK,K182,0.11
S,B,D,BULK,K182,0.67
S,B,A,BULK,K182,0.67
S,B,H,BULK,K182,0.18
S,C,S,BULK,K182,0.08
S,C,U,BULK,K182,0.08
S,C,P,BULK,K182,0.5
S,C,R,BULK,K182,0.08
S,C,A,BULK,K182,0.5
S,C,H,BULK,K182,0.13
S,C,D,BULK,K182,0.5
S,D,D,BULK,K182,0.37
S,D,A,BULK,K182,0.37
S,D,H,BULK,K182,0.1
S,D,S,BULK,K182,0.06
S,D,U,BULK,K182,0.06
S,D,P,BULK,K182,0.37
S,D,R,BULK,K182,0.06
S,A,P,BULK,K250,0.89
S,A,R,BULK,K250,0.15
S,A,D,BULK,K250,0.89
S,A,A,BULK,K250,0.89
S,A,H,BULK,K250,0.24
S,A,S,BULK,K250,0.15
S,A,U,BULK,K250,0.15
S,B,S,BULK,K250,0.11
S,B,U,BULK,K250,0.11
S,B,P,BULK,K250,0.67
S,B,R,BULK,K250,0.11
S,B,D,BULK,K250,0.67
S,B,A,BULK,K250,0.67
S,B,H,BULK,K250,0.18
S,C,S,BULK,K250,0.08
S,C,U,BULK,K250,0.08
S,C,P,BULK,K250,0.5
S,C,R,BULK,K250,0.08
S,C,A,BULK,K250,0.5
S,C,H,BULK,K250,0.13
S,C,D,BULK,K250,0.5
S,D,D,BULK,K250,0.37
S,D,A,BULK,K250,0.37
S,D,H,BULK,K250,0.1
S,D,S,BULK,K250,0.06
S,D,U,BULK,K250,0.06
S,D,P,BULK,K250,0.37
S,D,R,BULK,K250,0.06
S,A,P,BULK,K765,1.58
S,A,R,BULK,K765,1.58
S,A,D,BULK,K765,1.58
S,A,A,BULK,K765,1.58
S,A,H,BULK,K765,1.58
S,A,S,BULK,K765,1.58
S,A,U,BULK,K765,1.58
S,B,S,BULK,K765,1.18
S,B,U,BULK,K765,1.18
S,B,P,BULK,K765,1.18
S,B,R,BULK,K765,1.18
S,B,D,BULK,K765,1.18
S,B,A,BULK,K765,1.18
S,B,H,BULK,K765,1.18
S,C,S,BULK,K765,0.88
S,C,U,BULK,K765,0.88
S,C,P,BULK,K765,0.88
S,C,R,BULK,K765,0.88
S,C,A,BULK,K765,0.88
S,C,H,BULK,K765,0.88
S,C,D,BULK,K765,0.88
S,D,D,BULK,K765,0.66
S,D,A,BULK,K765,0.66
S,D,H,BULK,K765,0.66
S,D,S,BULK,K765,0.66
S,D,U,BULK,K765,0.66
S,D,P,BULK,K765,0.66
S,D,R,BULK,K765,0.66
S,A,P,BULK,K867,1.68
S,A,R,BULK,K867,0.1
S,A,D,BULK,K867,1.68
S,A,A,BULK,K867,1.68
S,A,H,BULK,K867,0.44
S,A,S,BULK,K867,0.24
S,A,U,BULK,K867,0
S,B,S,BULK,K867,0.18
S,B,U,BULK,K867,0
S,B,P,BULK,K867,1.26
S,B,R,BULK,K867,0.07
S,B,D,BULK,K867,1.26
S,B,A,BULK,K867,1.26
S,B,H,BULK,K867,0.33
S,C,S,BULK,K867,0.13
S,C,U,BULK,K867,0
S,C,P,BULK,K867,0.94
S,C,R,BULK,K867,0.05
S,C,A,BULK,K867,0.94
S,C,H,BULK,K867,0.25
S,C,D,BULK,K867,0.94
S,D,D,BULK,K867,0.71
S,D,A,BULK,K867,0.71
S,D,H,BULK,K867,0.18
S,D,S,BULK,K867,0.1
S,D,U,BULK,K867,0
S,D,P,BULK,K867,0.71
S,D,R,BULK,K867,0.04
S,A,P,BULK,L117,0.21
S,A,R,BULK,L117,0.03
S,A,D,BULK,L117,0.21
S,A,A,BULK,L117,0.21
S,A,H,BULK,L117,0.04
S,A,S,BULK,L117,0.03
S,A,U,BULK,L117,0.03
S,B,S,BULK,L117,0.02
S,B,U,BULK,L117,0.02
S,B,P,BULK,L117,0.16
S,B,R,BULK,L117,0.02
S,B,D,BULK,L117,0.16
S,B,A,BULK,L117,0.16
S,B,H,BULK,L117,0.03
S,C,S,BULK,L117,0.01
S,C,U,BULK,L117,0.01
S,C,P,BULK,L117,0.12
S,C,R,BULK,L117,0.01
S,C,A,BULK,L117,0.12
S,C,H,BULK,L117,0.02
S,C,D,BULK,L117,0.12
S,D,D,BULK,L117,0.09
S,D,A,BULK,L117,0.09
S,D,H,BULK,L117,0.02
S,D,S,BULK,L117,0.01
S,D,U,BULK,L117,0.01
S,D,P,BULK,L117,0.09
S,D,R,BULK,L117,0.01
S,A,P,BULK,L119,8.03
S,A,R,BULK,L119,0.09
S,A,D,BULK,L119,8.03
S,A,A,BULK,L119,8.03
S,A,H,BULK,L119,0.31
S,A,S,BULK,L119,0.09
S,A,U,BULK,L119,0.09
S,B,S,BULK,L119,0.07
S,B,U,BULK,L119,0.07
S,B,P,BULK,L119,6.03
S,B,R,BULK,L119,0.07
S,B,D,BULK,L119,6.03
S,B,A,BULK,L119,6.03
S,B,H,BULK,L119,0.23
S,C,S,BULK,L119,0.05
S,C,U,BULK,L119,0.05
S,C,P,BULK,L119,4.52
S,C,R,BULK,L119,0.05
S,C,A,BULK,L119,4.52
S,C,H,BULK,L119,0.17
S,C,D,BULK,L119,4.52
S,D,D,BULK,L119,3.39
S,D,A,BULK,L119,3.39
S,D,H,BULK,L119,0.13
S,D,S,BULK,L119,0.03
S,D,U,BULK,L119,0.03
S,D,P,BULK,L119,3.39
S,D,R,BULK,L119,0.03
S,A,P,BULK,L305,0.63
S,A,R,BULK,L305,0.03
S,A,D,BULK,L305,0.63
S,A,A,BULK,L305,0.63
S,A,H,BULK,L305,0.14
S,A,S,BULK,L305,0.07
S,A,U,BULK,L305,0
S,B,S,BULK,L305,0.05
S,B,U,BULK,L305,0
S,B,P,BULK,L305,0.47
S,B,R,BULK,L305,0.02
S,B,D,BULK,L305,0.47
S,B,A,BULK,L305,0.47
S,B,H,BULK,L305,0.1
S,C,S,BULK,L305,0.04
S,C,U,BULK,L305,0
S,C,P,BULK,L305,0.35
S,C,R,BULK,L305,0.01
S,C,A,BULK,L305,0.35
S,C,H,BULK,L305,0.08
S,C,D,BULK,L305,0.35
S,D,D,BULK,L305,0.26
S,D,A,BULK,L305,0.26
S,D,H,BULK,L305,0.06
S,D,S,BULK,L305,0.03
S,D,U,BULK,L305,0
S,D,P,BULK,L305,0.26
S,D,R,BULK,L305,0.01
S,A,P,BULK,L306,0.63
S,A,R,BULK,L306,0.03
S,A,D,BULK,L306,0.63
S,A,A,BULK,L306,0.63
S,A,H,BULK,L306,0.14
S,A,S,BULK,L306,0.07
S,A,U,BULK,L306,0
S,B,S,BULK,L306,0.05
S,B,U,BULK,L306,0
S,B,P,BULK,L306,0.47
S,B,R,BULK,L306,0.02
S,B,D,BULK,L306,0.47
S,B,A,BULK,L306,0.47
S,B,H,BULK,L306,0.1
S,C,S,BULK,L306,0.04
S,C,U,BULK,L306,0
S,C,P,BULK,L306,0.35
S,C,R,BULK,L306,0.01
S,C,A,BULK,L306,0.35
S,C,H,BULK,L306,0.08
S,C,D,BULK,L306,0.35
S,D,A,BULK,L306,0.26
S,D,D,BULK,L306,0.26
S,D,H,BULK,L306,0.06
S,D,S,BULK,L306,0.03
S,D,U,BULK,L306,0
S,D,P,BULK,L306,0.26
S,D,R,BULK,L306,0.01
S,A,P,BULK,L307,0.63
S,A,R,BULK,L307,0.03
S,A,D,BULK,L307,0.63
S,A,A,BULK,L307,0.63
S,A,H,BULK,L307,0.14
S,A,S,BULK,L307,0.07
S,A,U,BULK,L307,0
S,B,S,BULK,L307,0.05
S,B,U,BULK,L307,0
S,B,P,BULK,L307,0.47
S,B,R,BULK,L307,0.02
S,B,D,BULK,L307,0.47
S,B,A,BULK,L307,0.47
S,B,H,BULK,L307,0.1
S,C,S,BULK,L307,0.04
S,C,U,BULK,L307,0
S,C,P,BULK,L307,0.35
S,C,R,BULK,L307,0.01
S,C,A,BULK,L307,0.35
S,C,H,BULK,L307,0.08
S,C,D,BULK,L307,0.35
S,D,D,BULK,L307,0.26
S,D,A,BULK,L307,0.26
S,D,H,BULK,L307,0.06
S,D,S,BULK,L307,0.03
S,D,U,BULK,L307,0
S,D,P,BULK,L307,0.26
S,D,R,BULK,L307,0.01
S,A,P,BULK,L311,0.63
S,A,R,BULK,L311,0.03
S,A,D,BULK,L311,0.63
S,A,A,BULK,L311,0.63
S,A,H,BULK,L311,0.14
S,A,S,BULK,L311,0.07
